Wartoœæ arcsin 	 Funkcja rozwiniêcie 	 B³¹d wzglêdny 	 B³¹d bezwzglêdny 
0.5235987755982989 	 0.5 	 0.023599 	 4.507034144862808% 
0.5235987755982989 	 0.520833 	 0.002765 	 0.5281605675654183% 
0.5235987755982989 	 0.523177 	 0.000422 	 0.08053729011946692% 
0.5235987755982989 	 0.523526 	 7.3e-05 	 0.013926683356669847% 
0.5235987755982989 	 0.523585 	 1.4e-05 	 0.0025936287338291643% 
0.5235987755982989 	 0.523596 	 3e-06 	 0.0005073164055266504% 
0.5235987755982989 	 0.523598 	 1e-06 	 0.0001027590470000191% 
0.5235987755982989 	 0.523599 	 0.0 	 2.136595940766345e-05% 
0.5235987755982989 	 0.523599 	 0.0 	 4.533749193092013e-06% 
0.5235987755982989 	 0.523599 	 0.0 	 9.77821737475044e-07% 
